outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
17,1,False,0.00566498270948048,21920.918477109437,32437.938157764067,-10517.01968065463,6058.788829559515,-1.7358287236129397,253.4460836573031,70501.13725663116,3.0884256675290417e-10
17,2,True,0.01132996541896096,21920.918477109437,21359.679357859946,561.2391192494906,4861.946598837419,0.11543506450352484,165.33829575708458,70501.13725663116,1.415386288777244e-10
18,1,True,0.016484952959654502,21359.679357859946,15944.318478766847,5415.360879093099,6063.144571233795,0.8931604410005223,86.73100012574983,30433.270297132174,1.5992861107544538e-10
19,1,True,0.008470255377475961,15944.318478766847,14172.975711373885,1771.3427673929618,2445.595918941388,0.7242990363509085,115.34201296535038,9424.712156729722,1.571077087268784e-10
20,1,True,0.0077055947749548985,14172.975711373885,12599.606670819127,1573.3690405547586,2100.380328326678,0.7490876863278488,97.63043305637417,9277.78333106653,1.1604235420800762e-10
21,1,True,0.006752901873142483,12599.606670819127,11068.983043538698,1530.623627280429,1602.9575251506758,0.9548747257894762,86.83196041871966,7302.7019062706195,1.5384289809265967e-10
22,1,True,0.0022509672910474943,11068.983043538698,10026.649354423927,1042.33368911477,1358.6648314255767,0.767174997840419,155.69449990299236,8918.23654415743,6.029354310644585e-10
23,1,True,0.0019075306602639043,10026.649354423927,8965.442759131673,1061.2065952922549,1234.2481520665888,0.8598000276649406,127.82194830586619,23141.833296928144,9.831017635696963e-10
24,1,True,0.0011967344699754957,8965.442759131673,8223.983752869095,741.4590062625775,1101.8947519249841,0.6728945799653425,153.5288823762811,3221.823074444186,5.004661570072968e-10
25,1,False,0.0011472542155606604,8223.983752869095,8508.045094165827,-284.0613412967323,1155.2701422266618,-0.2458830458036714,144.35336085892578,5415.447959542575,6.194915346713122e-10
25,2,False,0.0022945084311213207,8223.983752869095,8325.484156419918,-101.50040355082274,883.2161519239869,-0.11492136248835072,103.1066636631043,5415.447959542575,4.2393392676264895e-10
25,3,True,0.009178033724485283,8223.983752869095,8006.689181961693,217.29457090740198,568.7756048184542,0.3820391892102327,52.48370097204509,5415.447959542575,1.190749023447657e-10
26,1,True,0.009298551992862813,8006.689181961693,7731.3455237979915,275.34365816370155,391.150573815571,0.7039326453692667,34.427234909678354,1610.0779567345733,1.196069476237072e-10
27,1,True,0.008667644668458395,7731.3455237979915,7580.0617110952435,151.28381270274804,225.20941662671834,0.6717472784608246,29.747625860922717,1561.528565670213,1.2801132023632107e-10
28,1,True,0.008316358801352645,7580.0617110952435,7445.604087794075,134.4576233011685,177.61816529539837,0.757003784368287,26.734798068657348,1556.805447862651,1.8355747596514954e-10
29,1,True,0.007186974464538736,7445.604087794075,7321.191379131038,124.41270866303694,156.4329645451225,0.7953100487790766,25.510459885945714,1538.4262615698594,9.28088467220451e-11
30,1,True,0.0057062618889849185,7321.191379131038,7188.7081377708655,132.48324136017254,158.42094900469542,0.8362734991332863,28.635571577941864,1540.4061718114076,2.0710458904011523e-10
31,1,True,0.00397038222351176,7188.7081377708655,7027.230327643461,161.47781012740415,190.70743254256877,0.8467305546225099,34.26889748263161,1557.8611844635616,1.9395296968115468e-10
32,1,True,0.00264634971725817,7027.230327643461,6825.9189740871,201.3113535563616,244.43212900939733,0.8235879398187547,44.77189327878858,1650.9398613872543,3.6509098365684824e-10
33,1,True,0.0019290276291633794,6825.9189740871,6596.198807400971,229.72016668612832,307.264317300843,0.7476304723701741,53.69839607892999,1882.006019665832,4.3970641190083914e-10
34,1,True,0.001694690722209323,6596.198807400971,6390.985814937642,205.2129924633291,356.675326576039,0.5753495607147922,61.024576854347934,2187.5419669321286,3.611953653345761e-10
35,1,True,0.001688890794065363,6390.985814937642,6252.030329009403,138.9554859282389,429.66788546328405,0.32340207548537603,71.07374690741459,2325.380720309701,3.7188477889191946e-10
36,1,True,0.0017633037130627082,6252.030329009403,6192.6705695847095,59.35975942469395,557.6256724034282,0.1064509084900034,80.78866911997578,2132.24657052862,7.40627496916923e-10
37,1,True,0.002623136203145942,6192.6705695847095,6150.159297275421,42.51127230928887,687.2309817637253,0.0618587832000632,79.69605138565247,2019.5487279784545,3.4138206250040697e-10
